"division","gender","belt","weight","rank","Name","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class."
"Master 1","Male","BROWN","Ultra Heavy",7,"Paul Hunt","Rodrigo Pinheiro BJJ",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",8,"Omarre Lavere Griffith","Gracie Barra",0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",9,"William Maxwell Doucet","Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",10,"Joseph Ichizo Campbell","Rodrigo Freitas Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",11,"Jean Montelus","American Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",12,"Jacob Andrew Stepisnik","Impact Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",13,"Fernando Martinez Melendez","Easton BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",14,"Chad Arick Ordelheide","Gracie Morumbi",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BROWN","Ultra Heavy",15,"Aaron Scott Howard","Super System BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",1,"Ricardo Ferreira Evangelista","GF Team",147,262,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",2,"Guybson Costa e Sá","SAS Team",132,501,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",3,"Vitor Moscon Schlosser","Schlosser BJJ",111,219,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",4,"Marcus Vinicius Gabriel Oliveira","Gracie Barra",72,310,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",5,"Herico Hesley de Albuquerque Pinto","Nova União",12,33,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",6,"Javier Zapata","LEAD BJJ",12,18,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",7,"Guilherme Wilson dos S Cordiviola","GF Team",0,382,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",8,"Wellington Modena Peroto","One Jiu-Jitsu USA",0,69,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",9,"Daniel Lee Williams","GF Team International",0,62,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",10,"Jan Victor Zander","Gracie Humaita",0,20,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",11,"Johnny Souza Gonçalves","Kronos BJJ HQ",0,19,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",12,"Rafael de Almeida Freitas Jesus","Alliance",0,13,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",13,"Thurman Maurice Green","Luiz Palhares Jiu-Jitsu",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",14,"Shane Leam McCarthy","Princeton Brazilian Jiu-Jitsu",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",15,"Klidson Farias de Abreu","Gracie Barra",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",16,"Joseph Moku Kahawai Jr ","We Are Hawaii Jiu-Jitsu Academy",0,9,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",17,"Michael Keith Torres","Six Blades Jiu-Jitsu",0,6,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",18,"Kyle Millard Pace","Gracie Barra BJJ",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",19,"Fabio Luiz Marques Junior","Nova União",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",20,"Thomas Yong Gentile","Team Mohler  - Dallas",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",21,"Michael John Godfread","The Jiu-Jitsu Academy",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",22,"Leon E Jackson III","RABJJ Academy",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",23,"James E Wilson","Team Mohler  - Dallas",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",24,"Jacinto Corrêa das Neves Júnior","GF Team International",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",25,"Fernando Toshio Cabral Tsushima","Atrium BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",26,"Dustin Aguilar","New Breed Academy",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Male","BLACK","Ultra Heavy",27,"David Joel Ortiz","Pedro Sauer Team",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",1,"Rebecca Dawn Koller","Alliance",201,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",2,"Stephanie Leigh Cruz","Park West BJJ",36,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",3,"Alejandra Gomez","Alliance International",24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",4,"Christina Yuequan Kwok","Jaysen Baxter Jiu-Jitsu",21,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",5,"Victoria Marie Lam","CRBJJ USA",6,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",6,"Tasha Nicole Gould","Alliance",0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",7,"Nicole Niel McCorriston","FTCC LV",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",8,"Rachel Puanani Chang","Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",9,"Patricia Arlynne L Reyes Santos","Autore",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",10,"Jenny Vo","Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",11,"Eleonora Cimarelli","Flow",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Rooster",12,"Alyssa Ann Webb","American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Rooster",1,"Thuyantrisha Tran Gertsma","Atos Jiu-Jitsu",63,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Rooster",2,"Divya Shambavi Narayan","Brasa CTA",21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Rooster",3,"Marilyn Matsumura Cruz","Baret Submissions USA",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Rooster",4,"Rontrice Thomas","Alliance",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Rooster",5,"Bobbie Jo Ridenhour","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Rooster",1,"Stephanie Souza Penido","Gracie Barra",6,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Rooster",2,"Phoebe Kate Gondales","Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Rooster",3,"Hope Marie Hollister","American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Rooster",1,"Marina Bocciarelli","Tetris",108,144,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Rooster",2,"Amber Rymarz Freitas","Smartjits",39,125,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Rooster",3,"Serena Gabrielli","Flow",36,13,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Rooster",4,"Iori Echigo","Dragon's Den",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",1,"Breann Michelle Hart","Team Jucão",189,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",2,"Natalia Quetzal Artigas Bell","Manzur Bros",108,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",3,"Taise Mazurek","Ns Brotherhood",6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",4,"Iris Clarisse M M Béatrice de Villars","Sacamp",0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",5,"Ligia Soares","London Fight Factory",0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",6,"Grace E Jolicoeur","Valko BJJ Academy",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",7,"Nargiza Yrysbekova","RMNU Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",8,"Jessica Nicole Martin","Praxis Brazilian Jiu Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",9,"Cari Kathleen Albers","Alliance",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",10,"Laura Yecelia Sanchez","Renzo Gracie Houston",0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",11,"Crystal Zinai Arreola","CheckMat",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",12,"Mengyi He","Unity Jiu-jitsu",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",13,"Katie Marie Hart","GF Team",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",14,"Gladys Y Oropeza Escalante","Pablo Silva BJJ",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",15,"Vanessa Alexandra Wingo","Martins & Wingo Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",16,"La Tania Finanda Phillipe","GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",17,"Jessica Anne Albaniel","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",18,"Hazel Mary Byrne","Unified Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Light Feather",19,"Amber M Harper","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",1,"Jenifer Susanne Fennell","Choke-U",12,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",2,"Loriane Pesarini","Fight Sports",0,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",3,"Hannah Noelle Ross","Art of Jiu Jitsu",0,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",4,"Misty Stockhaus","Alliance",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",5,"Rebecca Camacho","GF Team",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",6,"Kayla Janise Saldana Pita","Carlson Gracie Team",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",7,"Jocelyn Nicole Castillo Robles","BJJ Revolution Team",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",8,"Solveig Romaine Jaccoud","Tone Up C & F",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",9,"Paula Michelle Guzmán González","Arise Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",10,"Kelli Nicole Ennis","Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",11,"Elizabeth Rose Moore","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Light Feather",12,"Denise Capaceta","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",1,"Kaisa Yli Paunu","Team Helsinki",44,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",2,"Samantha Lyn Seff","Rubao Carioca",14,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",3,"Ashley Briann Hollingshad","CheckMat",8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",4,"Lillian Tran","CheckMat",0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",5,"La Catherine Transleau","Aviv Jiu-Jitsu",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Light Feather",6,"Angela Marie Leite","Hurricane Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",1,"Patrícia Maria N Fontes dos Santos","CheckMat",201,220,"No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",2,"Fiona M Watson","Notorious Mixed Martial Arts",12,70,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",3,"Ann Marie Kneib","Gracie Humaita",12,49,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",4,"Juliana Cristina Longhi","Carlson Gracie Team",12,33,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",5,"Sharon M Gosun","Brazil 021 School of Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",6,"Jennifer Martinez","CheckMat",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",7,"Elizabeth N Cornejo","Vamos Brazilian Jiu Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLACK","Light Feather",8,"Carolina da Silva Ochotorena","Nova União",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",1,"Kristina Zadunaiskaja","CheckMat",162,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",2,"Alicia Rene Raquel Unkrich","TAC Team BJJ",63,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",3,"Molly Grace James","TAC Team BJJ",36,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",4,"Kathleen Michelle Janis","Aviv Jiu-Jitsu",20,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",5,"Lina Lettie Grosset","Barbosa Jiu-Jitsu Paris",12,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",6,"Bonnie Kim Hien Nguyen","Artista Brazilian Jiu-Jitsu",0,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",7,"Leesa Ella Carter","American Jiu-Jitsu Syndicate",0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",8,"Melissa Sue Poland","Jaysen Baxter Jiu-Jitsu",0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",9,"Sarah Nalani Medoff","Brasa CTA",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",10,"Brett Ashton Loper","Alliance",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",11,"Madeline G Cann","Team Link",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",12,"Enkh Ochir B Sanz","Chantillymma",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",13,"Stacy Joyce Jones","Coachella Valley BJJ",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",14,"Jennifer Lorene Rankin","Gracie Barra",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",15,"Amanda Tuyetyi Dang","Marco Nascimento BJJ",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",16,"Vivian Huynh Edwards","Alliance",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",17,"Oon Zi Gui","FaMA BJJ",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",18,"Sara Leigh Ann Gann","Team Gann",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",19,"Holly Nicole Senecal","Soul Fighters BJJ",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",20,"Duvien Haruko Garcia","Renzo Gracie Houston",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",21,"Alita Martinique Brooks","Pedigo Submission Fighting",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",22,"Montana Maria Florence Cameron","Vancouver Island Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",23,"Maria Jesus Madruga","Guerrilla Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",24,"Lynn Michelle Huey Plewinski","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",25,"Lauren Nicole Mc Adam","Double Five",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",26,"Laura Bernaccino","Milano Jiu-Jitsu - L'Accademia",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",27,"Kristina Nikolaj","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",28,"Kristina Marie Baja Malasig","Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",29,"Jessica Alexandra Lucy Zavala","Silanoe Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",30,"Brittany Gervais","Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",31,"Aurora Tavera Almaguer","MX Flow Art",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",32,"Anna Wing Yee Kan","Cicero Costha Internacional",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",33,"Andrea I Pickens","SBG International (SBGI)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BLUE","Feather",34,"Alysha Michelle LaFromboise","Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",1,"Jasmine Coty Garrison","Carlson Gracie Team",75,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",2,"Jillian Louise Chalke","CheckMat",54,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",3,"Emmy Lou Kristine Yang","Camarillo Jiu-Jitsu",10,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",4,"Rockel Allen Cole","Team Jucão",8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",5,"Cassandra J Poyong","Team Buda International",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",6,"Lorena Balli","Patrick Almeida Jiu-Jitsu",6,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",7,"Larissa Alvim Fófano","Brazilian Top Team",0,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",8,"Sue Ann Barrera","Patrick Almeida Jiu-Jitsu",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",9,"Roushun Zibari","Inverse",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",10,"Camila Lopez","BJJ Revolution Team",0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",11,"Marina Kaoli Badzinski","Martins & Wingo Martial Arts",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",12,"Leda Guadalupe Garcia","GF Team",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",13,"Connie Chiayin Chou","Atos Jiu-Jitsu",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",14,"Brandi Nina Bowman","Smartjits",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",15,"Bethany Lenora Houghton","Atos Jiu-Jitsu",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",16,"Monica Lynn Pagliuca","Valle Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",17,"Heather Brittany Reinke","Proving Grounds Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",18,"Yacqueline Suzet Arosemena Villarreal","Amazing Serpente Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",19,"Marianna Jurkiewicz","Academia Gorila",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",20,"Leesa Kalei Yanuaria","Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","PURPLE","Feather",21,"Ferrari Ali Cardona","Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",1,"Kathleen Egan","One Jiu-Jitsu USA",111,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",2,"Monique Maggessi Garcez","Double Five",93,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",3,"Jeileen M Alvarez","Team Link",38,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",4,"Carolina de Freitas Bonfada","Alliance",0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",5,"Emily Rosalynn Nicholson","GF Team",0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",6,"Natalie Nicole Disimone","Six Blades Jiu-Jitsu",0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Master 1","Female","BROWN","Feather",7,"Shasta Nerissa Marie LaVallie","Alliance",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
