"division","gender","belt","weight","place","Name","winnerGym"
"Master 5","Male","BLUE","Open Class",1,"Michael John Barthlow","Gracie Barra"
"Master 5","Male","BLUE","Open Class",2,"Donnie James Saucier","American Top Team"
"Master 5","Male","BLUE","Open Class",3,"Russell A Salo","Alliance"
"Master 5","Male","PURPLE","Rooster",1,"Carlos Quitugua","TRUJITSU"
"Master 5","Male","PURPLE","Light Feather",1,"Jon S Kim","Alliance"
"Master 5","Male","PURPLE","Light Feather",2,"Hiram M Cruz","Lula Family Brazilian Jiu-Jitsu"
"Master 5","Male","PURPLE","Light Feather",3,"Richard Scott Balkin","Soul Fighters BJJ"
"Master 5","Male","PURPLE","Feather",1,"Herbert Farm Ronald Jr","GF Team"
"Master 5","Male","PURPLE","Feather",2,"Daniel Alfred Buck","Kimura BJJ USA"
"Master 5","Male","PURPLE","Feather",3,"Kevin David Burke","Ares BJJ Roseville"
"Master 5","Male","PURPLE","Feather",3,"Moise Suri","Ares BJJ"
"Master 5","Male","PURPLE","Light",1,"Timothy David St John","Gracie Barra"
"Master 5","Male","PURPLE","Light",2,"Norm Lee Graham","Maracaba BJJ"
"Master 5","Male","PURPLE","Light",3,"Luís Felipe Cintra Ayub","WinnerJJ"
"Master 5","Male","PURPLE","Light",3,"Ian Frederic Brown","Roll Jiu-Jitsu Academy"
"Master 5","Male","PURPLE","Middle",1,"Bruce Wayne Frederick","Nova União"
"Master 5","Male","PURPLE","Middle",2,"Robert Michael Lilly","Prime Jiu-Jitsu Center"
"Master 5","Male","PURPLE","Middle",3,"Jose Francisco Cardenas Pelegrin","CFC Team"
"Master 5","Male","PURPLE","Middle",3,"Michael Guy Reiner","Gracie Humaita"
"Master 5","Male","PURPLE","Medium Heavy",1,"Jason Mitchler","Prime Jiu-Jitsu Center"
"Master 5","Male","PURPLE","Medium Heavy",2,"Robert Lee  Jenkins","Brazilian Top Team"
"Master 5","Male","PURPLE","Medium Heavy",3,"Eb Chan","GF Team"
"Master 5","Male","PURPLE","Medium Heavy",3,"Doron Kim","Jean Jacques Machado BJJ"
"Master 5","Male","PURPLE","Heavy",1,"Alex Almeida Cavalcante da Silva","Drill BJJ"
"Master 5","Male","PURPLE","Heavy",2,"Conrad David Spangler II","Renzo Gracie Houston"
"Master 5","Male","PURPLE","Heavy",3,"Eric John Vogt","Brasa CTA"
"Master 5","Male","PURPLE","Heavy",3,"Michael R Smith","Casa of Jiu-Jitsu"
"Master 5","Male","PURPLE","Super Heavy",1,"Andrey Arefyev","Pedro Sauer Team"
"Master 5","Male","PURPLE","Super Heavy",2,"Alain Orozco","American Top Team"
"Master 5","Male","PURPLE","Super Heavy",3,"Cory W Barton","McVicker's Brazilian Jiu Jitsu"
"Master 5","Male","PURPLE","Super Heavy",3,"Marcus James Mataya","Cascao Jiu-Jitsu"
"Master 5","Male","PURPLE","Ultra Heavy",1,"David Lynn Sales","Ares BJJ"
"Master 5","Male","PURPLE","Ultra Heavy",2,"Albert J Oglum","Alliance"
"Master 5","Male","PURPLE","Ultra Heavy",3,"David Owen Rich Jr","Combat Base Kalamazoo"
"Master 5","Male","PURPLE","Ultra Heavy",3,"Jeffrey James Blaauw","Soul Fighters BJJ"
"Master 5","Male","PURPLE","Open Class",1,"Conrad David Spangler II","Renzo Gracie Houston"
"Master 5","Male","PURPLE","Open Class",2,"Luís Felipe Cintra Ayub","WinnerJJ"
"Master 5","Male","PURPLE","Open Class",3,"Doron Kim","Jean Jacques Machado BJJ"
"Master 5","Male","PURPLE","Open Class",3,"Daniel Alfred Buck","Kimura BJJ USA"
"Master 5","Male","BROWN","Light Feather",1,"Ivan Reilly","Rick Young BJJ Academy"
"Master 5","Male","BROWN","Light Feather",2,"Jaime Villar Molina","Brasa CTA"
"Master 5","Male","BROWN","Light Feather",3,"Michael Jay Silverman","Crazy 88"
"Master 5","Male","BROWN","Light Feather",3,"Michael Steven Chu","Gracie Allegiance"
"Master 5","Male","BROWN","Feather",1,"Steve William Aguirre","Ares BJJ"
"Master 5","Male","BROWN","Feather",2,"Shouichi Kubo","Impacto BJJ"
"Master 5","Male","BROWN","Feather",3,"Tony J Amigleo","Atos Jiu-Jitsu"
"Master 5","Male","BROWN","Feather",3,"Philip K Yogi","Free World Jiu-Jitsu"
"Master 5","Male","BROWN","Light",1,"Mark Douglas Rogers","Rodrigo Vaghi BJJ"
"Master 5","Male","BROWN","Light",2,"Dale Alan McClellan","Six Blades Jiu-Jitsu"
"Master 5","Male","BROWN","Light",3,"Timothy Irvin Funk","Zingano Brazilian Jiu-Jitsu"
"Master 5","Male","BROWN","Light",3,"Thad Earl Grace","Combat Base"
"Master 5","Male","BROWN","Middle",1,"Lyndon Edward Collins","Gordo Jiu-Jitsu Europe"
"Master 5","Male","BROWN","Middle",2,"Nelson Bernardo Valenzuela Montes","GF Team"
"Master 5","Male","BROWN","Middle",3,"Christopher Charles Putnam","Maracaba BJJ"
"Master 5","Male","BROWN","Middle",3,"Aaron Lee Chatfield","Factory BJJ UK"
"Master 5","Male","BROWN","Medium Heavy",1,"Leonardo Siena Pizzichi","Budo Clan"
"Master 5","Male","BROWN","Medium Heavy",2,"Damion Jeremy Triplett","Combat Base"
"Master 5","Male","BROWN","Medium Heavy",3,"João Carlos  Fernandes de Freitas","Equipe A"
"Master 5","Male","BROWN","Medium Heavy",3,"Ivo Eugeniev","Lubomir Guedjev BJJ Academy"
"Master 5","Male","BROWN","Heavy",1,"Craig S Doerfert","Ares BJJ"
"Master 5","Male","BROWN","Heavy",2,"James Michael","Valko BJJ Academy"
"Master 5","Male","BROWN","Heavy",3,"Trevor Allen Burns","Schell Shock BJJ"
"Master 5","Male","BROWN","Heavy",3,"Michael Jeffrey Whitener","Charlotte Jiu-Jitsu Academy"
"Master 5","Male","BROWN","Super Heavy",1,"Oleg Vasilyev","Inglorious Grapplers"
"Master 5","Male","BROWN","Super Heavy",2,"Igor Dolmatov","Lion Academy"
"Master 5","Male","BROWN","Super Heavy",3,"Brian Joseph Schell","Gracie Humaita"
"Master 5","Male","BROWN","Super Heavy",3,"Robert  Wayne Carter","Gracie Humaita"
"Master 5","Male","BROWN","Ultra Heavy",1,"Mathias Forsberg","Team Leites Stockholm"
"Master 5","Male","BROWN","Ultra Heavy",2,"Volker Joachim Ihlein","GF Team"
"Master 5","Male","BROWN","Ultra Heavy",3,"Robert Merril Lindamood","RMNU Team"
"Master 5","Male","BROWN","Ultra Heavy",3,"Wagner Augusto Parreiras Silva","Gracie Barra"
"Master 5","Male","BROWN","Open Class",1,"Oleg Vasilyev","Inglorious Grapplers"
"Master 5","Male","BROWN","Open Class",2,"Lyndon Edward Collins","Gordo Jiu-Jitsu Europe"
"Master 5","Male","BROWN","Open Class",3,"Nelson Bernardo Valenzuela Montes","GF Team"
"Master 5","Male","BROWN","Open Class",3,"Leonardo Siena Pizzichi","Budo Clan"
"Master 5","Male","BLACK","Rooster",1,"Yoshihiro Fujita","Fujita Jiu-Jitsu"
"Master 5","Male","BLACK","Rooster",2,"Eric Eugenio Abesames","Charles Gracie Jiu-Jitsu Academy - Daly City"
"Master 5","Male","BLACK","Rooster",3,"Andre Luciano R de Oliveira","Gracie Barra"
"Master 5","Male","BLACK","Light Feather",1,"Renato Sampaio Tavares Filho","Renato Tavares Association"
"Master 5","Male","BLACK","Light Feather",2,"Marcelo Pache Saldanha Ferreira","Carlson Gracie Team"
"Master 5","Male","BLACK","Light Feather",3,"Gregory Alan Fernandes","Gracie Barra"
"Master 5","Male","BLACK","Light Feather",3,"Russell J Terlecki","TAC Team BJJ"
"Master 5","Male","BLACK","Feather",1,"Alessandro Cirone Nagaishi","CheckMat"
"Master 5","Male","BLACK","Feather",2,"Robert Scott Schwartz","Art In Motion Jiu-Jitsu"
"Master 5","Male","BLACK","Feather",3,"Adam Metcalf","Will/Machado"
"Master 5","Male","BLACK","Feather",3,"Thandi I Turner","SBG International (SBGI)"
"Master 5","Male","BLACK","Light",1,"Alexandre Teixeira Araujo","Alexandre Araujo AJJ Team"
"Master 5","Male","BLACK","Light",2,"Rogerio Poggio de Castro","Infight JJ"
"Master 5","Male","BLACK","Light",3,"Peter J Molinelli","G T S"
"Master 5","Male","BLACK","Light",3,"Troy Allen Acker","Carlson Gracie Team"
"Master 5","Male","BLACK","Middle",1,"Marco Aurélio Ress","Gracie Barra"
"Master 5","Male","BLACK","Middle",2,"Andre Luiz Leite","Double Five"
"Master 5","Male","BLACK","Middle",3,"David M Ginsberg","Ginsberg Academy of Brazilian Jiu Jitsu"
"Master 5","Male","BLACK","Middle",3,"Devin A Dallaire","TAC Team BJJ"
"Master 5","Male","BLACK","Medium Heavy",1,"Rogério Camargo Leite","Carlson Gracie Team"
"Master 5","Male","BLACK","Medium Heavy",2,"Amal B Easton","Easton BJJ"
"Master 5","Male","BLACK","Medium Heavy",3,"Elias Bettencourt","CheckMat"
"Master 5","Male","BLACK","Medium Heavy",3,"Daniel Druker","Fight Sports"
"Master 5","Male","BLACK","Heavy",1,"Sérgio Ávila","CheckMat"
"Master 5","Male","BLACK","Heavy",2,"Carlos Alberto Terrinha","Gracie Barra"
"Master 5","Male","BLACK","Heavy",3,"Cezar Takeyoshi Ikehara","Ikehara Academy"
"Master 5","Male","BLACK","Heavy",3,"José Marcello Figueira Rodrigues","Icon Jiu-Jitsu Team"
"Master 5","Male","BLACK","Super Heavy",1,"Paulo R Castro","Gracie Barra"
"Master 5","Male","BLACK","Super Heavy",2,"Christopher E Howe","McVicker's Brazilian Jiu Jitsu"
"Master 5","Male","BLACK","Super Heavy",3,"Luiz Eduardo Rocha de Faria","Six Blades Jiu-Jitsu"
"Master 5","Male","BLACK","Super Heavy",3,"Marco Aurelio Buchaim Regos","Barbosa Jiu-Jitsu"
"Master 5","Male","BLACK","Ultra Heavy",1,"James Peter Mastrobattista","R1NG BJJ"
"Master 5","Male","BLACK","Ultra Heavy",2,"Stephen Vincent Hall","Octagon MMA"
"Master 5","Male","BLACK","Ultra Heavy",3,"Harold Oliver Jones Jr","Carlson Gracie Team"
"Master 5","Male","BLACK","Ultra Heavy",3,"Gilad Haroz","Pariente Academy"
"Master 5","Male","BLACK","Open Class",1,"Marco Aurelio Buchaim Regos","Barbosa Jiu-Jitsu"
"Master 5","Male","BLACK","Open Class",2,"Luiz Eduardo Rocha de Faria","Six Blades Jiu-Jitsu"
"Master 5","Male","BLACK","Open Class",3,"Carlos Alberto Terrinha","Gracie Barra"
"Master 5","Male","BLACK","Open Class",3,"Paulo R Castro","Gracie Barra"
"Master 6","Male","BLUE","Light",1,"Daniel L Mullins","Nova União"
"Master 6","Male","BLUE","Light",2,"Edward Gordon","Charles Gracie Jiu-Jitsu Academy - Reno"
"Master 6","Male","BLUE","Light",3,"Milo Bitton","Legacy Jiu-Jitsu - Team Alberto Crane"
"Master 6","Male","BLUE","Light",3,"Carlos Alberto Rivero","UFC Gym"
"Master 6","Male","BLUE","Middle",1,"William James Coyner","Tactics"
"Master 6","Male","BLUE","Middle",2,"Robert Ross Jon Currie","Gracie Barra"
"Master 6","Male","BLUE","Middle",3,"Douglas E Wills","Brasa CTA"
"Master 6","Male","BLUE","Medium Heavy",1,"Thomas Eugene Cuthbertson","Double Five"
"Master 6","Male","BLUE","Medium Heavy",2,"Patrick John Short","Pedigo Submission Fighting"
"Master 6","Male","BLUE","Medium Heavy",3,"Kevin Wayne King","Roberto Traven BJJ"
"Master 6","Male","BLUE","Medium Heavy",3,"Clinton Roche Grim","Carlson Gracie Team"
"Master 6","Male","BLUE","Heavy",1,"Daniel Allen Louis","CheckMat"
"Master 6","Male","BLUE","Heavy",2,"Francisco Esequiel Gonzales","LEAD BJJ"
"Master 6","Male","BLUE","Super Heavy",1,"Hensmann Eric Smidt","Carlson Gracie Team"
"Master 6","Male","BLUE","Super Heavy",2,"William Clark Harrell","NOLA Brazilian Jiu-Jitsu"
"Master 6","Male","BLUE","Super Heavy",3,"David Howells","Alliance"
"Master 6","Male","BLUE","Ultra Heavy",1,"Sergio Torruellas Jr","GF Team"
"Master 6","Male","BLUE","Ultra Heavy",2,"Michael Donyae Barrow","Gracie Barra"
"Master 6","Male","BLUE","Ultra Heavy",3,"Gregory Alan Lindstrom","Gracie Barra"
"Master 6","Male","BLUE","Open Class",1,"Francisco Esequiel Gonzales","LEAD BJJ"
"Master 6","Male","BLUE","Open Class",2,"William James Coyner","Tactics"
"Master 6","Male","BLUE","Open Class",3,"William Clark Harrell","NOLA Brazilian Jiu-Jitsu"
"Master 6","Male","BLUE","Open Class",3,"Thomas Eugene Cuthbertson","Double Five"
"Master 6","Male","PURPLE","Light Feather",1,"Rick Llanes Quindipan","Zenith BJJ"
"Master 6","Male","PURPLE","Feather",1,"Charles G St John Reed","FaMA BJJ"
"Master 6","Male","PURPLE","Feather",2,"George Taro Mimura","Relson Gracie"
"Master 6","Male","PURPLE","Feather",3,"Hideki Aimi","Dragon's Den"
"Master 6","Male","PURPLE","Light",1,"Michael Amico","BJJ Revolution Team"
"Master 6","Male","PURPLE","Light",2,"Michael Anthony McLaughlin","ACTJJ International"
"Master 6","Male","PURPLE","Light",3,"Steven James Patrick Lucero","Prime Jiu-Jitsu Center"
"Master 6","Male","PURPLE","Light",3,"Mark E Hurshman","Renato Tavares Association"
"Master 6","Male","PURPLE","Middle",1,"Fernando Ayax Alvarado Saavedra","Amazing Serpente Jiu-Jitsu"
"Master 6","Male","PURPLE","Middle",2,"Paul Lively","Curucuruland BJJ"
"Master 6","Male","PURPLE","Middle",3,"Jason Rath","Excellence School of Jiu-Jitsu USA"
"Master 6","Male","PURPLE","Middle",3,"Gregory Todd Calder","Carlson Gracie Team"
"Master 6","Male","PURPLE","Medium Heavy",1,"Philip L Swanson","Brasa CTA"
"Master 6","Male","PURPLE","Medium Heavy",2,"Salvador Bernal Sanz","Ases Jiu Jitsu"
"Master 6","Male","PURPLE","Medium Heavy",3,"David Bond Wells","Team Shawn Hammonds"
"Master 6","Male","PURPLE","Medium Heavy",3,"John F Short","American Top Team"
"Master 6","Male","PURPLE","Heavy",1,"Timothy S Winks","Gracie Barra"
"Master 6","Male","PURPLE","Heavy",2,"Jeffrey Thomas Partin","Tribal Gym"
"Master 6","Male","PURPLE","Heavy",3,"Michael R Garcia","Carlson Gracie Team"
"Master 6","Male","PURPLE","Heavy",3,"Clifton Rayburn Dalley","Carlson Gracie Team"
"Master 6","Male","PURPLE","Super Heavy",1,"Barry Alan Fridley","Zenith BJJ"
"Master 6","Male","PURPLE","Super Heavy",2,"Jorge Elias Durazo","Carlsbad Jiu-Jitsu"
"Master 6","Male","PURPLE","Super Heavy",3,"Thomas A Smith III","Wolfpack BJJ"
"Master 6","Male","PURPLE","Super Heavy",3,"Felix Alberto Rodriguez","Ares BJJ"
"Master 6","Male","PURPLE","Ultra Heavy",1,"Darren Jason Lockley","Roger Gracie Academy"
"Master 6","Male","PURPLE","Ultra Heavy",2,"Lincoln Green Jr","Gracie Humaita"
"Master 6","Male","PURPLE","Ultra Heavy",3,"Jonathan Paul Cohen","Grand Union Jiu-Jitsu"
"Master 6","Male","PURPLE","Open Class",1,"Darren Jason Lockley","Roger Gracie Academy"
"Master 6","Male","PURPLE","Open Class",2,"George Taro Mimura","Relson Gracie"
"Master 6","Male","PURPLE","Open Class",3,"Jonathan Paul Cohen","Grand Union Jiu-Jitsu"
"Master 6","Male","PURPLE","Open Class",3,"Thomas A Smith III","Wolfpack BJJ"
"Master 6","Male","BROWN","Light Feather",1,"Richard Cerruto","Black Hole Jiu-Jitsu"
"Master 6","Male","BROWN","Light Feather",2,"Wade Allen Wilcox","Luiz Palhares Jiu-Jitsu"
"Master 6","Male","BROWN","Light Feather",3,"Richard Allen Cook","GF Team"
"Master 6","Male","BROWN","Feather",1,"Peter M Caragher","Brasa CTA"
"Master 6","Male","BROWN","Feather",2,"Glenn Frank Ortiz","Six Blades Jiu-Jitsu"
"Master 6","Male","BROWN","Feather",3,"Vince Michael DeNunzio Jr","Six Blades Jiu-Jitsu"
"Master 6","Male","BROWN","Feather",3,"Darrin Neil Tinsley","Gracie Fighter"
"Master 6","Male","BROWN","Light",1,"Steven Frank Tarrago","Mario Sperry Jiu-Jitsu"
"Master 6","Male","BROWN","Light",2,"Angel Miguel Rolon","MJN Jiu-Jitsu"
"Master 6","Male","BROWN","Light",3,"John Christopher Fischer","Brazilian Top Team"
"Master 6","Male","BROWN","Light",3,"Phillip Todd Farley","Gracie Barra"
"Master 6","Male","BROWN","Middle",1,"Marc Dezeuze","Brazilian Power Team International"
"Master 6","Male","BROWN","Middle",2,"Steven Curtis Shearon","Six Blades Jiu-Jitsu"
"Master 6","Male","BROWN","Middle",3,"Paul Stamas","Brasa CTA"
"Master 6","Male","BROWN","Middle",3,"Carlo Eduardo Prado Siriany","Alliance"
"Master 6","Male","BROWN","Medium Heavy",1,"Safar Aliyev","Team Leites Stockholm"
"Master 6","Male","BROWN","Medium Heavy",2,"Rodney Joseph Partridge","Detroit Jiu-Jitsu Syndicate"
"Master 6","Male","BROWN","Medium Heavy",3,"Jeremy Jay Kam","Brasa CTA"
"Master 6","Male","BROWN","Medium Heavy",3,"Kevin James Craig","Relson Gracie"
"Master 6","Male","BROWN","Heavy",1,"Scott Cook","SAS Team"
"Master 6","Male","BROWN","Heavy",2,"Rodney Blaine Vieira","Phantom Brazilian Jiu-Jitsu"
"Master 6","Male","BROWN","Heavy",3,"Michael Thomas James","Gracie Barra"
"Master 6","Male","BROWN","Heavy",3,"Brent Leach","Carlson Gracie Team"
"Master 6","Male","BROWN","Super Heavy",1,"Oscar E C Lopez","DRM Jiu Jitsu"
"Master 6","Male","BROWN","Super Heavy",2,"Theodore Allen Linn","Ares BJJ"
"Master 6","Male","BROWN","Super Heavy",3,"Michael John Ferguson","HGJJ USA"
"Master 6","Male","BROWN","Ultra Heavy",1,"Darren Christopher Sietnieks","Roger Gracie Academy"
"Master 6","Male","BROWN","Ultra Heavy",2,"John Brennan","Alliance"
"Master 6","Male","BROWN","Ultra Heavy",3,"Bryan Samuel Briegel","Detroit Jiu-Jitsu Syndicate"
"Master 6","Male","BROWN","Open Class",1,"Scott Cook","SAS Team"
"Master 6","Male","BROWN","Open Class",2,"Safar Aliyev","Team Leites Stockholm"
"Master 6","Male","BROWN","Open Class",3,"Bryan Samuel Briegel","Detroit Jiu-Jitsu Syndicate"
"Master 6","Male","BROWN","Open Class",3,"Marc Dezeuze","Brazilian Power Team International"
"Master 6","Male","BLACK","Light Feather",1,"Daniel A Medalie","Vianna Brothers BJJ & MMA Academy"
"Master 6","Male","BLACK","Light Feather",2,"Dulciney Matos de Lima","Gracie Humaita"
"Master 6","Male","BLACK","Light Feather",3,"Joseph T Alleva","TAC Team BJJ"
"Master 6","Male","BLACK","Feather",1,"Kelly Gerald Johnson","Pedro Sauer Team"
"Master 6","Male","BLACK","Feather",2,"Sami Muhi Eddin Mohammad Al Jamal","Samy Al Jamal - FIT Jiu-Jitsu"
"Master 6","Male","BLACK","Feather",3,"Luis Fernando Heredia","Maui Jiu-Jitsu"
"Master 6","Male","BLACK","Feather",3,"Joseph Clemens Kracht","Barum Jiu-Jitsu"
"Master 6","Male","BLACK","Light",1,"Wellington Leal Dias","Gracie Humaita"
"Master 6","Male","BLACK","Light",2,"Michael Martin Westcott","Gracie Barra"
"Master 6","Male","BLACK","Light",3,"Anthony Leonard Vitullo","CheckMat"
"Master 6","Male","BLACK","Light",3,"Richard David Goodwin","New Creation Jiu-Jitsu Academy"
"Master 6","Male","BLACK","Middle",1,"Souleymane  Dicko","Mako Team Paris"
"Master 6","Male","BLACK","Middle",2,"Marcelo R Capociama Martins","CheckMat"
"Master 6","Male","BLACK","Middle",3,"Robert George Marvin","Pablo Silva BJJ"
"Master 6","Male","BLACK","Middle",3,"Alexandre Augusto Monteiro","Carlson Gracie Team"
"Master 6","Male","BLACK","Medium Heavy",1,"Paul Joseph Moriarty","Nova União"
"Master 6","Male","BLACK","Medium Heavy",2,"Ricardo Montelongo","Rodrigo Pinheiro BJJ"
"Master 6","Male","BLACK","Medium Heavy",3,"Daniel Thomas Lathrop","Caveirinha Jiu-Jitsu Family USA"
"Master 6","Male","BLACK","Medium Heavy",3,"Conan L Schafer","R1NG BJJ"
"Master 6","Male","BLACK","Heavy",1,"Scott R Roffers","Brasa CTA"
"Master 6","Male","BLACK","Heavy",2,"Brian William Lewis","Brazilian Top Team"
"Master 6","Male","BLACK","Heavy",3,"José Serral López","Titanes BJJ"
"Master 6","Male","BLACK","Heavy",3,"Amilcar Cipili","Gracie Humaita"
"Master 6","Male","BLACK","Super Heavy",1,"Adrien Roberto Domingues","GF Team"
"Master 6","Male","BLACK","Super Heavy",2,"José Mário Sperry","Mario Sperry Jiu-Jitsu"
"Master 6","Male","BLACK","Super Heavy",3,"James Foster","Jean Jacques Machado BJJ"
"Master 6","Male","BLACK","Ultra Heavy",1,"Renier Nuno","Fight Sports"
"Master 6","Male","BLACK","Ultra Heavy",2,"Veselin Doderovic","Team Leites Stockholm"
"Master 6","Male","BLACK","Ultra Heavy",3,"Cassio Cardosi","Alliance"
"Master 6","Male","BLACK","Ultra Heavy",3,"Joseph M Harbin","Luiz Palhares Jiu-Jitsu"
"Master 7","Male","BLUE","Feather",1,"Perry Neil Cooper","Gracie Barra"
"Master 7","Male","BLUE","Feather",2,"Nicholas Ritchie Hill","Equilibrium Mixed Martial Arts"
"Master 7","Male","BLUE","Feather",3,"Robert Wolf","Nova União"
"Master 7","Male","BLUE","Feather",3,"John Richard Brady","Ares BJJ"
"Master 7","Male","BLUE","Light",1,"Gilbert Lopez","Fresno Team Rocha"
"Master 7","Male","BLUE","Light",2,"Larry Marcel Peralta","Brazilian Top Team"
"Master 7","Male","BLUE","Light",3,"Jose Angel Quesada","Brazil 021 - Jacksonville"
"Master 7","Male","BLUE","Light",3,"Rubens Angel Demicheri Ilaria","Ricardo Pinheiro"
"Master 7","Male","BLUE","Middle",1,"Karl Roland Briggs","LEAD BJJ"
"Master 7","Male","BLUE","Middle",2,"Martin Richard Walshaw Ford","Renzo Gracie Ottawa"
"Master 7","Male","BLUE","Middle",3,"Frank Kwong Fu Tung","A-Force Brazilian Jiu-Jitsu"
"Master 7","Male","BLUE","Middle",3,"Brian David Bilyeu","Gracie Barra"
"Master 7","Male","BLUE","Medium Heavy",1,"Michael E Mitrowski","Gracie Barra"
"Master 7","Male","BLUE","Medium Heavy",2,"Robert James Taylor","Classic Brazilian Jiu-Jitsu"
"Master 7","Male","BLUE","Medium Heavy",3,"Scott Jacob Johannsen","Street Sports BJJ"
"Master 7","Male","BLUE","Medium Heavy",3,"Paul Alex Flores","Jiu-Jitsu Foundation"
"Master 7","Male","BLUE","Heavy",1,"Mark Jerome Allenson","Prodigy Martial Arts"
"Master 7","Male","BLUE","Heavy",2,"Richard Campbell Jr","Gracie Barra"
"Master 7","Male","BLUE","Heavy",3,"Peter Michael Iturraran","Stockton Jiu-Jitsu Academy"
"Master 7","Male","BLUE","Heavy",3,"Lee Roy Clark","Renato Tavares Association"
"Master 7","Male","BLUE","Super Heavy",1,"Charles King Bibby Jr","Rodrigo Vaghi BJJ"
"Master 7","Male","BLUE","Super Heavy",2,"Garry Logan Evans","American Top Team"
"Master 7","Male","BLUE","Super Heavy",3,"Richard Joseph OMeara","Embrace Martial Arts"
"Master 7","Male","BLUE","Ultra Heavy",1,"Glen Herbert Ashlock","Detroit Jiu-Jitsu Syndicate"
"Master 7","Male","BLUE","Open Class",1,"Michael E Mitrowski","Gracie Barra"
"Master 7","Male","BLUE","Open Class",2,"Peter Michael Iturraran","Stockton Jiu-Jitsu Academy"
"Master 7","Male","BLUE","Open Class",3,"Glen Herbert Ashlock","Detroit Jiu-Jitsu Syndicate"
"Master 7","Male","PURPLE","Light Feather",1,"Stuart Nobu Fujioka","Nova União"
"Master 7","Male","PURPLE","Light Feather",2,"Anthony Joseph Arce","BARBOSA JIU-JITSU USA"
"Master 7","Male","PURPLE","Feather",1,"Richard Myres Hilburn","Carlson Gracie Team"
"Master 7","Male","PURPLE","Feather",2,"Ted Priebe","Alexandre Novaes Jiu-Jitsu Academy"
"Master 7","Male","PURPLE","Light",1,"Edmund Kevin Bruce Hamer","Vancouver Island Brazilian Jiu-Jitsu"
"Master 7","Male","PURPLE","Light",2,"Trevor R Neal","Carlson Gracie Team"
"Master 7","Male","PURPLE","Light",3,"Joseph Charles DiBella","R1NG BJJ"
"Master 7","Male","PURPLE","Light",3,"Donald George Klein","Gracie Barra"
"Master 7","Male","PURPLE","Middle",1,"Maximo Mark Fuentes","Cassio Werneck BJJ"
"Master 7","Male","PURPLE","Middle",2,"Paul Alan Fiser","TDBJJ"
"Master 7","Male","PURPLE","Middle",3,"Edward Alan Mc Clarty","Artista Brazilian Jiu-Jitsu"
"Master 7","Male","PURPLE","Medium Heavy",1,"Michael George Andrews","Alliance"
"Master 7","Male","PURPLE","Medium Heavy",2,"Thomas Aquinas Boesen","Team Jucão"
"Master 7","Male","PURPLE","Medium Heavy",3,"David Wayne Hagen","Mountain Tribe Brazilian Jiu-Jitsu"
"Master 7","Male","PURPLE","Medium Heavy",3,"Michael C Wright","Jiu-Jitsu For Life Team"
"Master 7","Male","PURPLE","Heavy",1,"Ray Rutledge Fulp lll","Rodrigo Pinheiro BJJ"
"Master 7","Male","PURPLE","Heavy",2,"Gary Tucker Foster","Alliance"
"Master 7","Male","PURPLE","Super Heavy",1,"Alan Drew Cornfield","Mike Moses' Competition Team"
"Master 7","Male","PURPLE","Super Heavy",2,"Robert J Chuisano","Vamos Brazilian Jiu Jitsu"
"Master 7","Male","PURPLE","Super Heavy",3,"Dean M Brewer","Team Capo Brazilian Jiu-Jitsu"
"Master 7","Male","PURPLE","Ultra Heavy",1,"David Barrett Cohen","Alexandre Novaes Jiu-Jitsu Academy"
"Master 7","Male","PURPLE","Ultra Heavy",2,"Steven Raul Tarango","Brea Jiu-Jitsu"
"Master 7","Male","PURPLE","Ultra Heavy",3,"William Robert Lawless","Six Blades Jiu-Jitsu"
"Master 7","Male","PURPLE","Open Class",1,"Gary Tucker Foster","Alliance"
"Master 7","Male","PURPLE","Open Class",2,"Michael George Andrews","Alliance"
"Master 7","Male","PURPLE","Open Class",3,"Stuart Nobu Fujioka","Nova União"
"Master 7","Male","BROWN","Feather",1,"Vadim Genrich Evenbach","Ralph Gracie"
"Master 7","Male","BROWN","Feather",2,"Paolo Boccanera","Aeterna Jiu Jitsu"
"Master 7","Male","BROWN","Feather",3,"Magnus Carl Hedström","Team Leites Stockholm"
"Master 7","Male","BROWN","Feather",3,"Dan Segawa","Alexandre Novaes Jiu-Jitsu Academy"
"Master 7","Male","BROWN","Light",1,"Richard Dinkins","Zenith BJJ"
"Master 7","Male","BROWN","Light",2,"Troy Edmund Russell Jr","Renato Tavares Association"
"Master 7","Male","BROWN","Light",3,"Major Kenneth Stewart","Rodrigo Vaghi BJJ"
"Master 7","Male","BROWN","Light",3,"Wayne Antony Beadell","CheckMat"
"Master 7","Male","BROWN","Middle",1,"Richard William Jones","Vicente Jr. Team"
"Master 7","Male","BROWN","Middle",2,"Stewart Ronald Bass","Luis Rubalcava"
"Master 7","Male","BROWN","Medium Heavy",1,"Keith William Mateychick","Renato Tavares Association"
"Master 7","Male","BROWN","Medium Heavy",2,"Rick Via","Six Blades Jiu-Jitsu"
"Master 7","Male","BROWN","Heavy",1,"Francisco Soto Jr","Double Five"
"Master 7","Male","BROWN","Heavy",2,"Helcio Augusto Cesar Pinheiro","Carlson Gracie Team"
"Master 7","Male","BROWN","Ultra Heavy",1,"David Eugene Brown","Ground Dwellers"
"Master 7","Male","BROWN","Ultra Heavy",2,"Gabriel John Austin","MyBJJ Team"
